img_fpath,mask_fpath,defect_id
data/MT_dset/MT_Blowhole/Imgs/exp6_num_297601.jpg,data/MT_dset/MT_Blowhole/Imgs/exp6_num_297601.png,0
data/MT_dset/MT_Blowhole/Imgs/exp5_num_317558.jpg,data/MT_dset/MT_Blowhole/Imgs/exp5_num_317558.png,0
data/MT_dset/MT_Blowhole/Imgs/exp4_num_265131.jpg,data/MT_dset/MT_Blowhole/Imgs/exp4_num_265131.png,0
data/MT_dset/MT_Blowhole/Imgs/exp4_num_297524.jpg,data/MT_dset/MT_Blowhole/Imgs/exp4_num_297524.png,0
data/MT_dset/MT_Blowhole/Imgs/exp2_num_108923.jpg,data/MT_dset/MT_Blowhole/Imgs/exp2_num_108923.png,0
data/MT_dset/MT_Blowhole/Imgs/exp6_num_54366.jpg,data/MT_dset/MT_Blowhole/Imgs/exp6_num_54366.png,0
data/MT_dset/MT_Blowhole/Imgs/exp3_num_7023.jpg,data/MT_dset/MT_Blowhole/Imgs/exp3_num_7023.png,0
data/MT_dset/MT_Blowhole/Imgs/exp3_num_108757.jpg,data/MT_dset/MT_Blowhole/Imgs/exp3_num_108757.png,0
data/MT_dset/MT_Blowhole/Imgs/exp3_num_853.jpg,data/MT_dset/MT_Blowhole/Imgs/exp3_num_853.png,0
data/MT_dset/MT_Blowhole/Imgs/exp2_num_297490.jpg,data/MT_dset/MT_Blowhole/Imgs/exp2_num_297490.png,0
data/MT_dset/MT_Blowhole/Imgs/exp6_num_7102.jpg,data/MT_dset/MT_Blowhole/Imgs/exp6_num_7102.png,0
data/MT_dset/MT_Blowhole/Imgs/exp6_num_3789.jpg,data/MT_dset/MT_Blowhole/Imgs/exp6_num_3789.png,0
data/MT_dset/MT_Blowhole/Imgs/exp6_num_328105.jpg,data/MT_dset/MT_Blowhole/Imgs/exp6_num_328105.png,0
data/MT_dset/MT_Blowhole/Imgs/exp4_num_308078.jpg,data/MT_dset/MT_Blowhole/Imgs/exp4_num_308078.png,0
data/MT_dset/MT_Blowhole/Imgs/exp4_num_322656.jpg,data/MT_dset/MT_Blowhole/Imgs/exp4_num_322656.png,0
data/MT_dset/MT_Blowhole/Imgs/exp1_num_108719.jpg,data/MT_dset/MT_Blowhole/Imgs/exp1_num_108719.png,0
data/MT_dset/MT_Blowhole/Imgs/exp6_num_108812.jpg,data/MT_dset/MT_Blowhole/Imgs/exp6_num_108812.png,0
data/MT_dset/MT_Blowhole/Imgs/exp1_num_297464.jpg,data/MT_dset/MT_Blowhole/Imgs/exp1_num_297464.png,0
data/MT_dset/MT_Blowhole/Imgs/exp3_num_40438.jpg,data/MT_dset/MT_Blowhole/Imgs/exp3_num_40438.png,0
data/MT_dset/MT_Blowhole/Imgs/exp3_num_328014.jpg,data/MT_dset/MT_Blowhole/Imgs/exp3_num_328014.png,0
data/MT_dset/MT_Blowhole/Imgs/exp3_num_265117.jpg,data/MT_dset/MT_Blowhole/Imgs/exp3_num_265117.png,0
data/MT_dset/MT_Blowhole/Imgs/exp4_num_54308.jpg,data/MT_dset/MT_Blowhole/Imgs/exp4_num_54308.png,0
data/MT_dset/MT_Blowhole/Imgs/exp6_num_265182.jpg,data/MT_dset/MT_Blowhole/Imgs/exp6_num_265182.png,0
data/MT_dset/MT_Blowhole/Imgs/exp5_num_328057.jpg,data/MT_dset/MT_Blowhole/Imgs/exp5_num_328057.png,0
data/MT_dset/MT_Blowhole/Imgs/exp6_num_9594.jpg,data/MT_dset/MT_Blowhole/Imgs/exp6_num_9594.png,0
data/MT_dset/MT_Blowhole/Imgs/exp2_num_7009.jpg,data/MT_dset/MT_Blowhole/Imgs/exp2_num_7009.png,0
data/MT_dset/MT_Blowhole/Imgs/exp4_num_7036.jpg,data/MT_dset/MT_Blowhole/Imgs/exp4_num_7036.png,0
data/MT_dset/MT_Blowhole/Imgs/exp2_num_4964.jpg,data/MT_dset/MT_Blowhole/Imgs/exp2_num_4964.png,0
data/MT_dset/MT_Blowhole/Imgs/exp3_num_4978.jpg,data/MT_dset/MT_Blowhole/Imgs/exp3_num_4978.png,0
data/MT_dset/MT_Blowhole/Imgs/exp1_num_51674.jpg,data/MT_dset/MT_Blowhole/Imgs/exp1_num_51674.png,0
data/MT_dset/MT_Blowhole/Imgs/exp2_num_322630.jpg,data/MT_dset/MT_Blowhole/Imgs/exp2_num_322630.png,0
data/MT_dset/MT_Blowhole/Imgs/exp1_num_9473.jpg,data/MT_dset/MT_Blowhole/Imgs/exp1_num_9473.png,0
data/MT_dset/MT_Blowhole/Imgs/exp1_num_262480.jpg,data/MT_dset/MT_Blowhole/Imgs/exp1_num_262480.png,0
data/MT_dset/MT_Blowhole/Imgs/exp1_num_290998.jpg,data/MT_dset/MT_Blowhole/Imgs/exp1_num_290998.png,0
data/MT_dset/MT_Blowhole/Imgs/exp6_num_322697.jpg,data/MT_dset/MT_Blowhole/Imgs/exp6_num_322697.png,0
data/MT_dset/MT_Blowhole/Imgs/exp6_num_51771.jpg,data/MT_dset/MT_Blowhole/Imgs/exp6_num_51771.png,0
data/MT_dset/MT_Blowhole/Imgs/exp4_num_291052.jpg,data/MT_dset/MT_Blowhole/Imgs/exp4_num_291052.png,0
data/MT_dset/MT_Blowhole/Imgs/exp4_num_4995.jpg,data/MT_dset/MT_Blowhole/Imgs/exp4_num_4995.png,0
data/MT_dset/MT_Blowhole/Imgs/exp2_num_327997.jpg,data/MT_dset/MT_Blowhole/Imgs/exp2_num_327997.png,0
data/MT_dset/MT_Blowhole/Imgs/exp5_num_346381.jpg,data/MT_dset/MT_Blowhole/Imgs/exp5_num_346381.png,0
data/MT_dset/MT_Blowhole/Imgs/exp2_num_36302.jpg,data/MT_dset/MT_Blowhole/Imgs/exp2_num_36302.png,0
data/MT_dset/MT_Blowhole/Imgs/exp4_num_3724.jpg,data/MT_dset/MT_Blowhole/Imgs/exp4_num_3724.png,0
data/MT_dset/MT_Blowhole/Imgs/exp2_num_265103.jpg,data/MT_dset/MT_Blowhole/Imgs/exp2_num_265103.png,0
data/MT_dset/MT_Blowhole/Imgs/exp4_num_108774.jpg,data/MT_dset/MT_Blowhole/Imgs/exp4_num_108774.png,0
data/MT_dset/MT_Blowhole/Imgs/exp5_num_4801.jpg,data/MT_dset/MT_Blowhole/Imgs/exp5_num_4801.png,0
